ID,Length_cm,Weight_g,AmbMMR,AmbSMR
8P9,6.02,1.46,220.51,NA
8P10,6.22,1.73,208.08,93.68
8P11,6.76,2.02,161.87,110.6
8P12,7.12,1.98,200.56,97.7
8P13,7.61,3.17,410.13,223.78
8P14,6.72,1.78,187.24,343.36
8P15,6.82,2.27,308.23,267.5
8P16,8.03,3.36,196.66,259.46
6P9,7.65,3.86,328.27,227.9
6P10,6.15,1.62,225.66,254.46
6P11,6.98,2.28,306.14,233.1
6P12,5.95,1.65,318.91,288.925
6P13,7.89,3.05,NA,126.68
6P14,7.17,2.85,425.23,259.38
6P15,8.1,3.21,360.99,205.98
6P16,8.8,3.52,561.17,236.1
4P9,6.81,2.6,250.49,135.65
4P10,6.36,1.88,267.29,250.46
4P11,8.15,3.8,241.5,324.18
4P12,8.15,3.8,286.22,285.2
4P13,6.95,3.14,202.7,NA
4P14,5.91,2.05,443.76,471.76
4P15,5.78,1.61,460.75,344.1
4P16,8.05,4.57,324.37,214.5
3P9,8.29,3.77,411.42,150
3P10,7.28,2.6,368.65,182.6
3P11,8.14,3.62,382.05,171.5
3P12,7.01,2.12,281.34,157
3P13,6.93,2.35,91.96,NA
3P14,6.24,1.57,317.04,491.08
3P15,6.34,1.7,279.43,229.4
3P16,6.26,1.56,412.93,371.38
2P9,6.25,1.38,493.22,270.9
2P10,5.79,1.39,385.75,134.9
2P11,6.83,2.11,256.23,104.35
2P12,6.24,1.6,456.38,157.12
2P13,6.81,1.94,NA,169.125
2P14,6.35,1.71,592.8,996.5
2P15,7.45,2.54,254.68,246.54
2P16,7.65,3.18,246.29,310.74
1.5P9,8.31,3.43,758.46,254.05
1.5P10,8.66,5.02,335.05,499.08
1.5P11,8.25,3.99,345.83,215.54
1.5P12,5.38,1.18,457.76,295.46
1.5P13,6.52,1.94,927.35,285.8
1.5P14,6.61,2.53,567.1,456.12
1.5P15,7.63,3.29,NA,222.76
1.5P16,5.55,1.44,571.7,282.1